球员,赛季,球队,出场,首发,时间,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负
托尼-德尔克,98-99,勇士,36,13,17.5,0.364,2.6,7.0,0.242,0.4,1.8,0.648,1.3,2.0,1.5,0.3,1.2,2.6,0.4,0.2,1.3,1.3,6.8,15,21
沃尚-莱纳德,98-99,热火,12,2,15.8,0.392,2.6,6.6,0.343,1.0,2.9,0.727,0.7,0.9,1.3,0.3,1.0,0.8,0.3,0.1,0.6,1.5,6.8,8,4
特洛伊-哈德森,98-99,快船,25,6,21.0,0.4,2.4,6.0,0.319,0.6,1.9,0.895,1.4,1.5,2.2,0.6,1.6,3.7,0.4,0.1,1.5,1.1,6.8,6,19
托尼-巴蒂,98-99,凯尔特,50,15,22.4,0.519,2.9,5.7,0.0,0.0,0.1,0.672,0.8,1.2,6.0,1.9,4.1,1.1,0.6,1.4,0.9,3.2,6.7,19,31
洛伦岑-怀特,98-99,快船,48,15,23.6,0.458,2.5,5.4,0.0,0.0,0.0,0.692,1.7,2.4,7.5,3.0,4.6,0.7,0.5,0.8,1.0,3.4,6.6,9,39
斯科特-伯勒尔,98-99,篮网,32,10,22.1,0.361,2.3,6.5,0.389,0.9,2.3,0.81,1.1,1.3,3.7,1.0,2.7,1.4,1.3,0.3,0.7,2.6,6.6,7,25
博-奥特洛,98-99,魔术,31,22,27.5,0.545,2.7,5.0,0.0,0.0,0.1,0.432,1.1,2.6,5.4,1.7,3.6,1.8,1.3,1.4,1.9,2.5,6.5,19,12
德尼斯-斯科特,98-99,-1,36,9,20.5,0.408,2.4,5.9,0.381,1.0,2.7,0.742,0.6,0.9,1.6,0.2,1.4,1.1,0.4,0.1,0.5,1.4,6.5,18,18
特雷西-穆雷,98-99,奇才,36,0,18.1,0.35,2.3,6.6,0.32,0.9,2.9,0.81,0.9,1.2,2.3,0.5,1.8,0.8,0.6,0.2,0.8,1.8,6.5,14,22
贾仑-杰克逊,98-99,马刺,47,13,18.3,0.38,2.3,6.0,0.361,1.1,3.1,0.821,0.7,0.8,2.1,0.4,1.7,1.0,0.9,0.2,0.8,1.3,6.4,34,13
格雷格-安东尼,98-99,开拓者,50,0,16.1,0.414,2.1,5.0,0.392,1.0,2.5,0.697,1.2,1.8,1.3,0.3,1.0,2.0,1.3,0.1,1.1,1.5,6.4,35,15
贾米尔-法伊克,98-99,-1,28,16,30.4,0.5,2.4,4.8,-0.01,0.0,0.0,0.717,1.5,2.1,10.3,4.0,6.3,0.9,0.9,0.6,1.2,2.6,6.3,14,14
布拉德-米勒,98-99,黄蜂,38,0,12.3,0.565,2.1,3.6,0.5,0.0,0.1,0.794,2.1,2.7,3.1,0.9,2.2,0.6,0.2,0.5,0.8,1.7,6.3,20,18
迈克尔-多里亚克,98-99,魔术,49,0,15.9,0.468,2.6,5.4,-0.01,0.0,0.0,0.675,1.1,1.6,3.0,1.3,1.7,0.4,0.4,0.3,0.5,2.4,6.2,32,17
克罗内-大卫,98-99,公牛,50,6,18.0,0.449,2.2,4.9,0.0,0.0,0.0,0.811,1.8,2.2,3.5,1.4,2.1,0.8,0.5,0.3,1.0,1.8,6.2,13,37
查克-珀森,98-99,黄蜂,50,21,19.8,0.388,2.2,5.8,0.35,1.1,3.1,0.75,0.5,0.6,2.6,0.3,2.3,1.2,0.4,0.2,0.8,1.8,6.1,26,24
约翰-纽曼,98-99,骑士,50,2,19.0,0.422,2.1,5.0,0.377,0.5,1.2,0.81,1.4,1.7,1.5,0.3,1.2,0.8,0.6,0.2,0.8,2.5,6.1,22,28
马里克-罗斯,98-99,马刺,47,0,12.9,0.463,2.0,4.3,0.0,0.0,0.0,0.671,2.1,3.1,3.9,1.9,2.0,0.6,0.9,0.5,1.2,2.6,6.0,36,11
本-华莱士,98-99,奇才,46,16,26.8,0.578,2.5,4.3,-0.01,0.0,0.0,0.356,1.0,2.9,8.3,3.0,5.4,0.4,1.1,2.0,0.8,2.4,6.0,17,29
德里克-费舍尔,98-99,湖人,50,21,22.6,0.376,2.0,5.3,0.392,0.8,1.9,0.759,1.2,1.6,1.8,0.4,1.4,3.9,1.2,0.0,1.5,1.9,5.9,31,19
詹姆斯-罗宾逊,98-99,-1,31,0,16.3,0.362,2.2,6.0,0.284,0.7,2.4,0.683,0.9,1.3,2.0,0.6,1.4,1.8,0.7,0.3,1.4,1.9,5.9,4,27
约翰-克罗蒂,98-99,-1,27,0,14.1,0.411,1.9,4.6,0.389,0.5,1.3,0.86,1.6,1.9,1.1,0.3,0.9,2.3,0.4,0.0,1.2,1.1,5.9,14,13
萨马基-沃克,98-99,独行侠,39,2,14.6,0.463,2.3,4.9,0.0,0.0,0.0,0.541,1.4,2.5,3.7,1.2,2.5,0.2,0.2,0.4,0.9,2.2,5.9,11,28
维尼-德纳特,98-99,雄鹿,48,7,22.8,0.422,2.4,5.6,0.433,0.3,0.6,0.8,0.8,1.0,2.1,0.3,1.8,3.6,0.7,0.1,1.1,1.3,5.9,27,21
道格-韦斯特,98-99,灰熊,14,2,21.0,0.477,2.2,4.6,0.0,0.0,0.1,0.76,1.4,1.8,1.8,0.4,1.4,1.4,1.1,0.5,0.9,2.7,5.8,3,11
约翰-泰勒,98-99,掘金,36,9,20.1,0.414,2.3,5.5,0.382,0.7,1.9,0.739,0.5,0.6,2.8,0.8,2.0,0.7,0.8,0.5,0.9,2.7,5.8,10,26
格雷格-奥斯特塔格,98-99,爵士,48,48,27.9,0.476,2.1,4.3,-0.01,0.0,0.0,0.62,1.6,2.5,7.3,2.2,5.1,0.5,0.3,2.7,0.9,2.9,5.7,35,13
克里斯-加特林,98-99,-1,48,3,16.1,0.442,2.4,5.5,0.125,0.0,0.2,0.398,0.8,1.9,3.7,1.1,2.6,0.7,0.7,0.2,1.3,2.5,5.7,18,30
沃尔特-迈卡蒂,98-99,凯尔特,32,4,20.6,0.362,2.0,5.5,0.26,0.4,1.6,0.702,1.3,1.8,3.6,1.1,2.5,1.3,0.8,0.4,1.3,2.8,5.7,10,22
帕特-加里蒂,98-99,太阳,39,9,13.8,0.5,2.2,4.4,0.389,0.2,0.5,0.714,1.0,1.4,1.9,0.7,1.3,0.5,0.2,0.1,0.5,1.6,5.6,24,15
切洛基-帕克斯,98-99,灰熊,48,41,23.3,0.429,2.5,5.7,0.0,0.0,0.0,0.545,0.6,1.1,5.1,1.6,3.5,0.8,0.6,0.6,1.0,2.4,5.5,7,41
弗拉迪米尔-斯蒂潘尼亚,98-99,超音速,23,6,13.6,0.424,2.3,5.4,0.0,0.0,0.1,0.525,0.9,1.7,3.3,1.2,2.1,0.5,0.4,1.0,1.4,2.5,5.5,11,12
迪恩-加勒特,98-99,森林狼,49,37,21.5,0.502,2.4,4.7,-0.01,0.0,0.0,0.745,0.8,1.0,5.2,2.0,3.2,0.6,0.6,0.9,0.6,2.3,5.5,24,25
朱德-布伊奇勒,98-99,活塞,50,0,21.1,0.417,2.0,4.8,0.412,1.2,3.0,0.722,0.3,0.4,2.7,0.6,2.1,1.1,0.7,0.3,0.4,1.7,5.5,29,21
马克-亨德里克森,98-99,篮网,22,6,18.1,0.443,1.8,4.0,0.0,0.0,0.0,0.84,1.9,2.3,3.1,1.2,1.9,0.6,0.5,0.0,0.7,1.8,5.5,10,12
米切尔-巴特勒,98-99,骑士,31,1,13.5,0.482,2.2,4.5,0.379,0.4,0.9,0.719,0.7,1.0,1.4,0.4,1.0,0.7,0.5,0.1,0.9,1.3,5.4,12,19
埃里克-华盛顿,98-99,掘金,38,6,20.0,0.397,1.9,4.8,0.381,1.0,2.6,0.688,0.6,0.8,2.3,0.9,1.4,0.8,0.7,0.5,0.9,2.3,5.4,12,26
鲁西奥斯-哈里斯,98-99,篮网,36,5,16.7,0.403,2.0,5.0,0.22,0.3,1.4,0.75,1.0,1.3,1.9,0.6,1.3,0.9,0.5,0.2,0.5,1.4,5.4,13,23
克里斯-凯尔,98-99,-1,39,4,11.4,0.371,1.9,5.3,0.373,0.7,1.9,0.675,0.7,1.0,1.8,0.6,1.2,0.6,0.2,0.1,0.7,1.2,5.3,20,19
罗波特-特雷勒,98-99,雄鹿,49,43,16.0,0.537,2.2,4.1,0.0,0.0,0.0,0.538,0.9,1.6,3.7,1.6,2.1,0.8,0.9,0.9,0.9,2.9,5.3,27,22
达蒙-琼斯,98-99,-1,24,0,14.3,0.361,1.8,5.0,0.403,1.0,2.6,0.824,0.6,0.7,1.8,0.3,1.6,1.8,0.5,0.0,0.7,1.0,5.2,7,17
唐-瑞德,98-99,活塞,47,30,19.9,0.557,2.1,3.7,-0.01,0.0,0.0,0.608,1.0,1.7,3.6,1.4,2.2,0.7,0.6,0.9,0.8,3.3,5.1,27,20
斯科特-波拉德,98-99,国王,16,5,16.2,0.541,2.1,3.8,-0.01,0.0,0.0,0.696,1.0,1.4,5.1,2.4,2.8,0.3,0.5,1.1,0.3,2.6,5.1,10,6
埃尔文-约翰逊,98-99,雄鹿,50,7,20.5,0.508,1.9,3.8,-0.01,0.0,0.0,0.61,1.3,2.1,6.4,2.4,4.0,0.4,0.6,1.1,0.9,3.0,5.1,28,22
杰拉尼-麦考伊,98-99,超音速,26,0,12.7,0.737,2.2,2.9,-0.01,0.0,0.0,0.5,0.8,1.6,3.0,1.0,2.0,0.2,0.4,0.8,0.4,1.6,5.1,14,12
Muggsy-博格斯,98-99,勇士,36,5,19.8,0.494,2.1,4.3,0.0,0.0,0.2,0.861,0.9,1.0,2.0,0.4,1.6,3.7,1.2,0.0,1.3,1.2,5.1,15,21
德里克-斯特朗,98-99,魔术,44,0,15.8,0.422,1.7,4.1,0.0,0.0,0.0,0.717,1.6,2.3,3.7,1.5,2.2,0.4,0.3,0.2,0.8,1.5,5.1,28,16
埃尔德里奇-雷卡斯那,98-99,黄蜂,44,2,16.1,0.446,1.9,4.2,0.4,0.5,1.4,0.872,0.8,0.9,1.8,0.5,1.3,2.1,0.4,0.0,1.3,1.5,5.0,22,22
泰伦-卢,98-99,湖人,15,0,12.5,0.431,1.9,4.3,0.438,0.5,1.1,0.571,0.8,1.4,0.4,0.1,0.3,1.7,0.3,0.0,0.7,1.9,5.0,7,8
安东尼-约翰逊,98-99,老鹰,49,2,18.1,0.404,1.9,4.6,0.263,0.1,0.4,0.695,1.2,1.7,1.5,0.3,1.2,2.2,0.7,0.1,1.3,1.4,5.0,31,18
多米尼克-威尔金斯,98-99,魔术,27,2,9.3,0.379,1.9,4.9,0.263,0.2,0.7,0.69,1.1,1.6,2.6,1.1,1.5,0.6,0.1,0.0,0.9,0.7,5.0,16,11
阿尔文-威廉姆斯,98-99,猛龙,50,45,21.0,0.401,1.9,4.7,0.333,0.3,0.8,0.846,0.9,1.0,1.6,0.4,1.3,2.6,1.0,0.2,1.1,1.9,5.0,23,27
萨姆-帕金斯,98-99,步行者,48,0,16.4,0.4,1.7,4.2,0.389,0.7,1.9,0.717,0.9,1.3,2.9,0.8,2.1,0.5,0.3,0.3,0.5,1.5,5.0,31,17
